cvd;dow;temp.l1;temp.l2;temp.l3;temp.l4;dptp.l1;dptp.l2;dptp.l3;dptp.l4;o3.l1;o3.l2;o3.l3;o3.l4
66;Sunday;3.778721614;3.418889848;3.067477854;3.194483784;3.854199727;3.650364185;3.362869904;3.623528611;1.711220549;1.359939973;1.140261688;1.117004896
74;Monday;3.805248685;3.448774387;3.093495458;3.123190455;3.876378912;3.665343719;3.379549249;3.511800025;1.716193756;1.390467803;1.15697386;1.133262554
58;Tuesday;3.799447004;3.478261863;3.129319948;3.019136629;3.900451676;3.680393581;3.408715082;3.357640626;1.717831429;1.419764235;1.172823644;1.171743532
74;Wednesday;3.815663521;3.504626419;3.172707792;2.948015559;3.896374057;3.695182665;3.444122508;3.293189736;1.770297393;1.447675595;1.187394469;1.214698153
61;Thursday;3.841229947;3.529242815;3.219660338;2.932543349;3.866214724;3.70743248;3.484484322;3.247581232;1.804986733;1.477847753;1.203922716;1.213309483
53;Friday;3.890354222;3.552617908;3.27136199;2.901141371;3.913253516;3.715051325;3.531904891;3.172518602;1.815877612;1.5089103;1.220260828;1.243040035
65;Saturday;3.939072849;3.576360833;3.322431333;2.944648752;4.034851427;3.723508542;3.578514223;3.206189705;1.736761453;1.539148311;1.236560417;1.270647051
58;Sunday;3.976271056;3.600394335;3.375743513;2.948887638;4.070195671;3.73807624;3.627003776;3.205237255;1.76318774;1.561956539;1.261309729;1.179421261
64;Monday;4.025057368;3.623815885;3.429758124;2.974855594;4.098778286;3.752412059;3.674894841;3.240822061;1.852625148;1.584874605;1.2847866;1.221513576
56;Tuesday;4.03634382;3.647417697;3.485109736;2.992262606;4.024615809;3.765941843;3.727405479;3.204561383;1.921956153;1.612429741;1.308143363;1.249072936
51;Wednesday;4.057412914;3.668495144;3.540104305;3.03246408;4.047247039;3.771324892;3.776466656;3.277036442;1.81538011;1.642974012;1.335508489;1.222834823
66;Thursday;4.121014536;3.688081948;3.584347002;3.213125777;4.126976835;3.776156716;3.809323371;3.519504183;1.814649907;1.663574146;1.37136242;1.134378414
44;Friday;4.212930537;3.709822153;3.616177364;3.412851646;4.240335869;3.785269814;3.828249185;3.726414209;1.758797406;1.681708737;1.411933388;1.096220854
60;Saturday;4.379287379;3.736219247;3.638645926;3.568825318;4.324933836;3.801667259;3.832198449;3.946621297;1.903203901;1.693356498;1.45389834;1.102027127
59;Sunday;4.495741825;3.772853525;3.654767903;3.685435667;4.377868838;3.82373395;3.825943107;4.100753454;2.10748171;1.712970905;1.494410571;1.147788488
57;Monday;4.42835406;3.816205177;3.664993778;3.79946887;4.274922862;3.849398582;3.816504103;4.158528541;2.276824911;1.744712631;1.532582968;1.212118008
59;Tuesday;4.324039063;3.853126378;3.675532327;3.826628424;4.175995363;3.867610081;3.803692704;4.216356785;2.415504756;1.785821089;1.571420295;1.24199664
62;Wednesday;4.248754042;3.881145483;3.685827627;3.856175117;4.109914463;3.878813932;3.795652932;4.156738669;2.439565859;1.833908984;1.607929767;1.318637842
64;Thursday;4.215435299;3.902545;3.697049293;3.864296599;4.089883679;3.885422678;3.787242343;4.165063507;2.469018031;1.880619046;1.646885149;1.331146073
72;Friday;4.187763031;3.920521277;3.705973139;3.913324247;4.154132344;3.890826894;3.779719696;4.154069901;2.519543077;1.926269164;1.687515617;1.354217819
50;Saturday;4.18396552;3.935498172;3.719984344;3.858437964;4.212584826;3.900936207;3.776774335;4.094242519;2.510919243;1.972365529;1.727426404;1.410392927
52;Sunday;4.165250853;3.949061332;3.736752551;3.835685378;4.200911896;3.914947975;3.780151433;4.015198589;2.729700583;2.014779573;1.763867115;1.502737054
68;Monday;4.166152744;3.960080639;3.754881424;3.83161904;4.138625463;3.927545948;3.785799829;3.994594237;2.925194673;2.069900662;1.800927223;1.54117502
65;Tuesday;4.174161533;3.96999088;3.772838735;3.847710162;4.092176928;3.935073027;3.792501155;3.989185529;3.002115244;2.135672767;1.840192013;1.56625998
62;Wednesday;4.188783415;3.979368688;3.789282261;3.881506182;4.132892568;3.938696883;3.801899048;3.958604348;2.981591215;2.20337466;1.876756241;1.663450429
56;Thursday;4.216971182;3.988673938;3.808324799;3.858378282;4.138710912;3.944551831;3.816079647;3.899945827;3.097737087;2.266149292;1.910175862;1.764669371
64;Friday;4.254024389;3.998693624;3.832193002;3.805996993;4.070646764;3.949763697;3.838781868;3.792475059;3.243703387;2.334055135;1.939354411;1.879848682
46;Saturday;4.291855775;4.00990746;3.856627918;3.814180012;4.052796207;3.949120795;3.850997446;3.945408927;3.396449393;2.408853733;1.982493694;1.749072818
53;Sunday;4.360075135;4.022426979;3.876931421;3.887599831;4.112495777;3.946700338;3.859818424;3.99508988;3.529754111;2.490495296;2.025957961;1.81430165
63;Monday;4.463851376;4.038451518;3.898810651;3.883262403;4.190083579;3.948107711;3.870998622;3.965699555;3.596408282;2.577432422;2.068481618;1.90112797
73;Tuesday;4.589366141;4.060279593;3.925159199;3.843201637;4.345911883;3.954364455;3.88618127;3.91772069;3.586011951;2.664841031;2.109243574;2.000806837
67;Wednesday;4.612398921;4.089156161;3.953374922;3.844739723;4.443891139;3.970781393;3.903279326;3.90490201;3.444983012;2.747332501;2.146876946;2.116960477
63;Thursday;4.633078027;4.117486548;3.983897687;3.843158659;4.535290172;3.992773912;3.926506541;3.840646395;3.315247015;2.815824428;2.183158298;2.201139601
57;Friday;4.636741792;4.145046298;4.014947492;3.866260459;4.605987856;4.019540771;3.951200738;3.845846803;3.211531599;2.871561335;2.217531422;2.283174262
68;Saturday;4.661772013;4.170735393;4.041597057;3.955929854;4.643876494;4.04958265;3.970298867;3.950821721;3.157965184;2.91645201;2.26510316;2.150031349
43;Sunday;4.636120386;4.196353844;4.063417476;4.049213423;4.640662093;4.080648965;3.988001698;3.997891811;3.115718903;2.953777558;2.322695332;2.058675226
66;Monday;4.53379761;4.218438392;4.084011208;4.090298111;4.503806593;4.10982728;4.005242535;4.031402478;3.189593831;2.984019878;2.391313532;1.952113145
53;Tuesday;4.445869763;4.231685398;4.102758992;4.135095283;4.423554561;4.127672305;4.021296029;4.070037256;3.188578714;3.015103152;2.47083047;1.849120728
57;Wednesday;4.449444325;4.237421945;4.120373004;4.163849588;4.378667351;4.138594754;4.035192332;4.115191606;3.155152381;3.041310048;2.553650475;1.852361975
48;Thursday;4.363544137;4.242456235;4.135543386;4.207273334;4.273131513;4.145455414;4.044718308;4.18600881;3.133847211;3.060468427;2.632459863;1.952542945
53;Friday;4.272680419;4.240478223;4.150954059;4.210465157;4.196383711;4.144156631;4.053595322;4.200182385;3.049356237;3.073957017;2.701707685;2.122703165
54;Saturday;4.244198015;4.231346971;4.164741503;4.234291369;4.123355738;4.136995348;4.061735318;4.210481757;3.110648813;3.077764367;2.766360436;2.216267054
58;Sunday;4.277415258;4.219787053;4.1764615;4.260305434;4.17837896;4.12443826;4.068532298;4.224898215;3.257752366;3.082733389;2.827745813;2.287144878
56;Monday;4.356739473;4.210427167;4.183545489;4.320599698;4.138985003;4.115821799;4.074127598;4.236438389;3.344307678;3.095131289;2.88530228;2.367519719
53;Tuesday;4.42677607;4.206693166;4.187474368;4.361727074;4.176972778;4.104420577;4.076387544;4.277060515;3.35249807;3.110547807;2.942700003;2.399990135
61;Wednesday;4.421253541;4.207914111;4.189072194;4.394126525;4.216312764;4.096048884;4.072945953;4.348912542;3.308927865;3.123355419;2.998602066;2.450781094
55;Thursday;4.490346024;4.208641076;4.190252249;4.401078218;4.230780948;4.090871979;4.069347017;4.345149884;3.197592919;3.13005764;3.050732625;2.529087476
54;Friday;4.624895704;4.214221894;4.191366882;4.404599593;4.370707344;4.086887845;4.071887506;4.256838919;3.171204819;3.126358682;3.091055133;2.710071915
48;Saturday;4.686368864;4.229211317;4.192169536;4.416421437;4.506284895;4.092838628;4.075419913;4.244926376;3.231445263;3.119018087;3.125730371;2.797840793
60;Sunday;4.731854256;4.248135536;4.194090302;4.413194409;4.612510234;4.108104088;4.08021352;4.236352699;3.250246617;3.114480097;3.15919233;2.822759606
53;Monday;4.762427887;4.269757075;4.194705733;4.445758927;4.742444665;4.130470453;4.078843324;4.335316184;3.173262916;3.109805743;3.190243637;2.86450708
79;Tuesday;4.823659189;4.292988793;4.194782815;4.468865714;4.895147741;4.161583171;4.078220819;4.343161616;3.048467633;3.098624315;3.20493684;3.09355829
54;Wednesday;4.872436337;4.319917799;4.197823259;4.44579854;5.02532976;4.202681506;4.08343671;4.288235466;2.978123374;3.078361784;3.208915807;3.234245847
51;Thursday;4.935568454;4.349341592;4.20681827;4.385079199;5.138264218;4.251516684;4.09850905;4.186651169;2.973419435;3.053804298;3.196449224;3.44475651
64;Friday;5.019375211;4.381754151;4.228825389;4.232004916;5.224421279;4.306184377;4.122983128;4.099504541;2.934829883;3.030219784;3.181361938;3.459414809
57;Saturday;5.125992901;4.417950128;4.262249574;4.107734529;5.325184798;4.364186338;4.155800541;4.033351112;3.041809598;3.005162665;3.169092544;3.39866799
47;Sunday;5.242531678;4.459203362;4.294493182;4.162688382;5.441339672;4.426340994;4.185733423;4.126139412;3.156306351;2.988938822;3.158729969;3.353968193
57;Monday;5.401551943;4.506232119;4.322207094;4.266713962;5.568765032;4.493798287;4.212134757;4.230007189;3.368883551;2.981778952;3.149666766;3.324445706
44;Tuesday;5.436480459;4.562109554;4.346758588;4.35551441;5.555993298;4.567361582;4.236616297;4.314546286;3.315954108;2.990562209;3.134594492;3.403894925
73;Wednesday;5.400725161;4.617851097;4.370659504;4.411850215;5.593558292;4.636900536;4.261921918;4.361597335;3.129755704;2.996225826;3.1139078;3.480154277
58;Thursday;5.403393656;4.668455168;4.393684512;4.469183261;5.612266473;4.705919018;4.294184712;4.32361945;2.968923245;2.989595333;3.088593064;3.535551433
43;Friday;5.382406051;4.716809095;4.417010885;4.507577647;5.527642727;4.772736936;4.333590474;4.28465236;3.032123732;2.973151423;3.053417793;3.653111219
61;Saturday;5.37666556;4.761306526;4.439057328;4.565557038;5.461151829;4.829811609;4.374989388;4.31441956;3.081919862;2.963199827;3.02541514;3.533410577
48;Sunday;5.414843782;4.803175366;4.460718712;4.608615098;5.408804928;4.878701963;4.413698247;4.402667027;3.192498686;2.958246398;3.005295844;3.410548428
57;Monday;5.445535267;4.845629362;4.482233416;4.647585534;5.341780036;4.920762231;4.449605657;4.48627876;3.336850936;2.962276609;2.986233028;3.388615396
61;Tuesday;5.45071386;4.888118506;4.50393569;4.682150451;5.255523475;4.955121115;4.488346221;4.486892927;3.307693626;2.97757416;2.961810125;3.461719592
51;Wednesday;5.53617998;4.92879076;4.526717101;4.703980904;5.22109473;4.980535552;4.526982219;4.522880495;3.425246045;2.991480148;2.942550078;3.39254044
52;Thursday;5.477099585;4.973347872;4.551369515;4.716123542;5.049664719;5.001093607;4.55910273;4.64163194;3.542784994;3.014146863;2.932341411;3.27469898
56;Friday;5.476975757;5.01128209;4.578044309;4.725877592;5.063009781;5.007414257;4.58689407;4.721534036;3.468028158;3.044832498;2.934030908;3.127030168
61;Saturday;5.472264117;5.046811828;4.609093245;4.701130175;5.139889856;5.013135604;4.615376975;4.726230751;3.459163603;3.069009295;2.94827789;2.975088051
56;Sunday;5.407681262;5.079375418;4.64779236;4.631346977;5.115509173;5.022728335;4.646322082;4.708143913;3.480555138;3.091007438;2.971685043;2.871065974
60;Monday;5.369345049;5.104336504;4.696731791;4.5252554;5.04928629;5.028583554;4.686455455;4.599089372;3.540766408;3.112706173;2.999440665;2.835201175
67;Tuesday;5.351809394;5.123424455;4.749024863;4.51224161;5.012879167;5.027434834;4.732630338;4.53257981;3.501445835;3.136908813;3.021665365;2.936606368
64;Wednesday;5.390814166;5.138112862;4.804471653;4.499612647;5.037081898;5.021284961;4.785063683;4.461128766;3.567695125;3.156737796;3.037779502;3.043266304
67;Thursday;5.437786663;5.152422648;4.861828247;4.503468505;5.06548249;5.014295088;4.843009879;4.400103849;3.607618887;3.180123348;3.048401936;3.13903127
43;Friday;5.477306759;5.166796988;4.92276033;4.48515299;5.034117285;5.006557658;4.904675948;4.364997469;3.48843602;3.205297071;3.056421122;3.195216551
56;Saturday;5.591582574;5.180617143;4.983529725;4.519005327;5.085349462;4.993716003;4.967122544;4.369328132;3.694617302;3.220989243;3.061902724;3.24685921
57;Sunday;5.734326641;5.199393289;5.037791065;4.641012288;5.192995787;4.982016373;5.019629564;4.519010604;3.890443517;3.250567066;3.073575872;3.179991832
59;Monday;5.840231634;5.225352603;5.085474751;4.765845153;5.343249023;4.97587939;5.064891494;4.630663133;4.086919298;3.292733794;3.087200731;3.182413935
63;Tuesday;5.793035665;5.255860056;5.132640096;4.809607558;5.287786707;4.978515761;5.104725058;4.719878036;4.032938526;3.347162535;3.100909352;3.219650164
57;Wednesday;5.804272701;5.28008339;5.171863467;4.953929556;5.392644578;4.975431146;5.133460601;4.885575739;3.9965622;3.395649469;3.115428124;3.249105346
65;Thursday;5.888372877;5.302797464;5.200973019;5.122386614;5.492816166;4.978747549;5.151513037;5.041909817;4.112516294;3.439697066;3.125247213;3.350518253
42;Friday;5.872999034;5.329660873;5.223156224;5.244616235;5.435075496;4.988519288;5.15786019;5.212820426;4.038592356;3.490265682;3.140736566;3.309377541
43;Saturday;5.902667294;5.353720127;5.242213725;5.312885764;5.448867837;4.993688052;5.160924543;5.265087803;4.061917891;3.533180649;3.169335048;3.168218763
53;Sunday;5.988996503;5.378335653;5.261390067;5.334955116;5.623621654;4.999823181;5.153078026;5.419126823;4.30661359;3.575002984;3.207986009;3.070514393
62;Monday;6.038742125;5.407537423;5.28036492;5.363239568;5.739129617;5.018798337;5.139392616;5.504805308;4.227413675;3.631168771;3.25210867;3.043636236
48;Tuesday;6.091589266;5.438744523;5.293541282;5.470166859;5.872744257;5.046340658;5.120103313;5.592570052;4.167607202;3.678022996;3.298023183;3.070622784
55;Wednesday;6.132413073;5.472286853;5.306101516;5.505735224;5.985304945;5.083845258;5.093324741;5.710493844;3.978485717;3.717250325;3.339532675;3.177034097
59;Thursday;6.225141472;5.507145305;5.323456445;5.468440333;6.14275652;5.1296903;5.068674866;5.700694456;4.019472937;3.73992461;3.381291186;3.209890537
52;Friday;6.217470355;5.546862483;5.341089075;5.496712837;6.15636916;5.18673259;5.047262383;5.683291796;3.799760189;3.76272746;3.429297216;3.15529406
54;Saturday;6.131475338;5.58416213;5.357993348;5.539639818;6.135777652;5.244288342;5.028080811;5.684805965;3.578170119;3.766822288;3.480517104;3.137862518
58;Sunday;6.047181096;5.613589403;5.37273378;5.598326164;6.111453788;5.299731768;5.013683574;5.651681325;3.476808464;3.752598175;3.526642792;3.222241748
52;Monday;6.020328881;5.635529532;5.387138396;5.625953251;6.224591165;5.352546014;5.006874202;5.5803397;3.308582308;3.729489896;3.562067252;3.371997637
52;Tuesday;6.109998276;5.654314379;5.400160421;5.664091338;6.364859236;5.412233132;5.007537953;5.514798644;3.352415205;3.693439238;3.588596936;3.485666615
57;Wednesday;6.233501969;5.678375546;5.413042552;5.685530468;6.491521149;5.480173494;5.016087252;5.451549163;3.408741808;3.660258776;3.609790349;3.544121164
44;Thursday;6.347408618;5.709944388;5.42800779;5.680992131;6.594767267;5.554806497;5.032074624;5.402408975;3.44201103;3.631104951;3.622569773;3.645088288
54;Friday;6.452243464;5.747974132;5.44780113;5.644540899;6.699312318;5.633862653;5.057968557;5.326062035;3.439770638;3.604387654;3.637497215;3.601008287
62;Saturday;6.529959936;5.791363542;5.474477316;5.585845911;6.782771304;5.716765046;5.09651686;5.218601398;3.385629154;3.577368658;3.656066299;3.538026575
54;Sunday;6.600978985;5.837584599;5.512798507;5.467404231;6.815728272;5.801220759;5.15038874;5.081086308;3.452435255;3.545961922;3.686936412;3.356440419
60;Monday;6.654592762;5.885701193;5.555000901;5.460814049;6.908944977;5.883053534;5.210431161;5.073697125;3.54831481;3.518750494;3.711671797;3.431037874
57;Tuesday;6.68460664;5.934357007;5.595933283;5.52681006;6.964491189;5.966225163;5.280729114;5.012302162;3.445576058;3.498275914;3.719127001;3.659454105
59;Wednesday;6.689021671;5.981858168;5.638020317;5.559013532;6.878963778;6.047523944;5.360602973;4.96367251;3.406503247;3.471069392;3.708482497;3.892804566
50;Thursday;6.647466143;6.026402057;5.679167064;5.618813351;6.780440487;6.116653232;5.442150049;5.021511428;3.340360825;3.442379511;3.694489681;3.915360001
43;Friday;6.659883235;6.06481912;5.719870464;5.66833034;6.76375187;6.172915175;5.525359036;5.071435837;3.426215055;3.410503503;3.676121352;3.949119492
46;Saturday;6.677927777;6.101067122;5.763063082;5.674780105;6.745067177;6.222396873;5.610170685;5.11599096;3.635075115;3.386462852;3.658292663;3.915832979
45;Sunday;6.742072737;6.135491101;5.808295481;5.686881158;6.753639421;6.265101309;5.694497954;5.184933521;3.914757265;3.378704613;3.645146511;3.834540565
74;Monday;6.778463243;6.171371445;5.853700139;5.725108042;6.777022051;6.30323583;5.775663134;5.286356223;4.155342783;3.391908399;3.625394778;3.922015822
30;Tuesday;6.685161056;6.206532132;5.905434155;5.679548062;6.650215939;6.338065844;5.856306621;5.347860621;4.146929068;3.42278714;3.610815795;3.859610295
57;Wednesday;6.623861257;6.231689488;5.952715731;5.77976778;6.608125278;6.359277383;5.924525083;5.565852838;4.127259413;3.452828768;3.60304808;3.782431944
45;Thursday;6.651850318;6.249525174;5.998723466;5.828989842;6.705657481;6.373598232;5.991732179;5.616425093;4.097108805;3.481253748;3.588215096;3.896373348
58;Friday;6.733075;6.266681397;6.042564054;5.887214281;6.743655477;6.391104371;6.062492804;5.60304685;4.081024305;3.507608907;3.570244838;3.952851468
49;Saturday;6.785704237;6.287204485;6.079154136;6.015037422;6.778500069;6.407473142;6.12935794;5.69337423;4.194727372;3.533058459;3.551074147;3.980724794
63;Sunday;6.878560583;6.309304345;6.109392936;6.129679735;6.860617533;6.422803999;6.188108859;5.839170544;4.369694316;3.566864536;3.533966037;3.9662193
56;Monday;6.893589793;6.336105811;6.1340323;6.233959933;6.782023717;6.440875476;6.239619981;5.970716699;4.383881799;3.613246844;3.512158303;4.052077211
49;Tuesday;6.918032945;6.36212237;6.156776997;6.286962222;6.742548532;6.45042705;6.287275097;6.051399081;4.389773373;3.66045225;3.493561169;4.03279731
59;Wednesday;6.954931062;6.388127968;6.178091951;6.332662212;6.768476189;6.45467133;6.330533608;6.133308199;4.656768317;3.707743598;3.476766782;4.034210061
69;Thursday;7.014508338;6.415096819;6.197371822;6.386450567;6.805938578;6.458758084;6.364034085;6.284996457;5.004918976;3.773942874;3.450060275;4.202928247
55;Friday;7.046827518;6.444580293;6.220456686;6.360954436;6.829969853;6.463870314;6.392937963;6.362991799;5.138493768;3.864236833;3.438383902;4.042331625
51;Saturday;7.072385244;6.474303536;6.250540106;6.294149856;6.946693819;6.46914984;6.421376048;6.383327262;5.242153922;3.961896674;3.444248604;3.863654428
51;Sunday;7.087962318;6.503470333;6.286065841;6.250999867;7.035476004;6.481131866;6.453298555;6.351948956;5.179755988;4.063660662;3.470630385;3.654583837
58;Monday;7.034911657;6.531385909;6.315889829;6.361381776;7.023907066;6.497841965;6.473833771;6.528889406;5.025654452;4.156977892;3.500539973;3.683363031
45;Tuesday;7.025926622;6.553385546;6.343389201;6.421090768;7.003150932;6.512292796;6.494030417;6.551662059;4.968702201;4.235337155;3.53442925;3.699107292
48;Wednesday;7.043076639;6.572752764;6.37375067;6.406179527;7.045331368;6.523905409;6.513810749;6.57360804;5.117220064;4.305581204;3.583553936;3.554590558
62;Thursday;7.017697725;6.591456179;6.399674315;6.490866309;7.055214818;6.53755717;6.521115357;6.759857677;5.060552484;4.382144545;3.634768659;3.594524045
49;Friday;6.982609827;6.606630563;6.423920964;6.534788676;6.977217757;6.551410598;6.519934526;6.887896873;4.850156253;4.449953228;3.695070374;3.538735101
55;Saturday;6.916335013;6.617655263;6.450639955;6.518776259;6.885299187;6.559324955;6.521959247;6.851200795;4.668241553;4.49739201;3.781818946;3.238973833
51;Sunday;6.910341065;6.622350605;6.477326929;6.53421947;6.841404799;6.560390819;6.523500265;6.861613355;4.616906833;4.526264909;3.872191629;3.246952056
53;Monday;6.908402029;6.625174943;6.504221484;6.54355923;6.896216103;6.558189668;6.526358112;6.843774195;4.522047181;4.54617548;3.966544514;3.241879743
47;Tuesday;6.891705973;6.626474014;6.530553328;6.562320064;6.923916431;6.559798798;6.529841539;6.836067203;4.32780999;4.554320566;4.053847107;3.381705024
54;Wednesday;6.86136898;6.625161546;6.560436301;6.523254973;6.931223587;6.563047045;6.53840115;6.76967493;4.318685695;4.543888919;4.149311862;3.300693739
59;Thursday;6.851859224;6.620331877;6.586653829;6.581904142;6.935028773;6.566426133;6.542225814;6.839712722;4.352715752;4.52865643;4.232559697;3.492919051
47;Friday;6.891429142;6.613906646;6.602454084;6.729693171;6.93944092;6.569990606;6.538286861;6.949526414;4.461110829;4.512503287;4.300509471;3.720877444
45;Saturday;6.891145235;6.609976896;6.606432553;6.893254673;6.936687578;6.574189251;6.525486046;7.071838759;4.43347867;4.501355493;4.359658096;3.856047871
58;Sunday;6.890976166;6.606148066;6.601512754;7.013531222;7.008321098;6.578690149;6.513752451;7.055680037;4.296810864;4.485985261;4.403031803;4.083539075
57;Monday;6.946586804;6.602665666;6.595877648;7.019005553;7.073637165;6.588662153;6.506266121;6.998491559;4.274818723;4.459171143;4.444158476;4.115148206
58;Tuesday;6.998209926;6.603455096;6.592826241;6.980780294;7.134900126;6.603291224;6.50357878;6.938794657;4.285275156;4.429486273;4.483532288;4.1342828
61;Wednesday;7.049749238;6.607982877;6.592850253;6.939537035;7.192298548;6.621939299;6.505387768;6.887954748;4.261118666;4.399451167;4.519288027;4.177159257
47;Thursday;7.097411986;6.615983314;6.596445056;6.895126894;7.232514747;6.643970939;6.513117284;6.821836763;4.166799622;4.366860772;4.548284335;4.260626793
50;Friday;7.137689148;6.626938067;6.602646526;6.867389202;7.269271474;6.667787868;6.526496824;6.763321038;4.058786814;4.327233323;4.565419047;4.408014275
59;Saturday;7.17476428;6.640107469;6.611797613;6.837689274;7.348129747;6.692887254;6.542707753;6.746390548;4.02517312;4.280171782;4.57832511;4.441881086
61;Sunday;7.205108639;6.655074099;6.62334831;6.817947206;7.358885037;6.721969055;6.567118603;6.658986398;4.002664208;4.231332854;4.589063807;4.442912269
33;Monday;7.121526107;6.671223394;6.636061837;6.81698749;7.31607685;6.749705715;6.598171576;6.596692533;3.74851086;4.182034426;4.582338464;4.651320545
64;Tuesday;7.062240279;6.68038614;6.648043353;6.84028121;7.231375555;6.772234852;6.625513315;6.675905687;3.657404677;4.11656775;4.560494891;4.815597428
53;Wednesday;6.977383443;6.684608032;6.655305342;6.913654164;7.16296236;6.786940446;6.646846379;6.780643375;3.586321661;4.047827457;4.519357288;5.024806077
53;Thursday;6.917196652;6.682345011;6.661104007;6.936897656;7.132020645;6.79536302;6.667034387;6.811919769;3.634247006;3.978038837;4.468764228;5.091225703
46;Friday;6.954268071;6.675592315;6.665566887;6.954083517;7.167798058;6.800408948;6.685435929;6.848214247;3.803274005;3.915947339;4.418499796;5.022957731
52;Saturday;6.999927636;6.671381211;6.672311405;6.920738385;7.2114631;6.806968939;6.703848462;6.858693728;4.023626369;3.869788009;4.376402012;4.855969671
60;Sunday;7.079471611;6.670180275;6.679957234;6.90898875;7.292313228;6.815534972;6.723560139;6.852803986;4.219631062;3.842395629;4.343105246;4.695272284
67;Monday;7.130957332;6.674520834;6.678846082;7.032447784;7.320743731;6.828923286;6.733134463;7.005957356;4.329765273;3.831511197;4.302484289;4.770175164
57;Tuesday;7.174860037;6.682658556;6.670339483;7.137392423;7.374761678;6.843649007;6.737588596;7.089063964;4.64420946;3.830965486;4.253804405;4.861750657
59;Wednesday;7.211640821;6.694170625;6.660581316;7.158249124;7.411939363;6.861504886;6.747227096;7.031145793;4.773898821;3.855482536;4.196450336;4.971153778
57;Thursday;7.256588327;6.708416728;6.653984174;7.120500504;7.448873984;6.881039726;6.758506296;7.025147023;5.056761629;3.891639448;4.131602416;5.073969299
65;Friday;7.305329922;6.725785055;6.649248117;7.103670179;7.492298312;6.902108845;6.771561829;7.018996352;5.035777949;3.950182126;4.069664051;5.043827813
65;Saturday;7.361227715;6.746281174;6.650195537;7.037464733;7.531089831;6.92494833;6.790488548;6.958700313;5.110797515;4.008559321;4.017088613;4.934185108
60;Sunday;7.368006976;6.770173737;6.651950309;7.042157754;7.528882544;6.949176146;6.803650772;7.060525127;4.988238992;4.073417451;3.96339629;4.973252497
56;Monday;7.318044319;6.793808609;6.655459157;7.035280997;7.498287448;6.972069903;6.812960427;7.134174489;4.727626713;4.130566507;3.907918233;5.020568411
63;Tuesday;7.282312628;6.813030191;6.661850111;7.011992498;7.474215725;6.991724097;6.822711;7.146208602;4.539812764;4.169958944;3.870507221;4.787233671
56;Wednesday;7.289573805;6.828774592;6.67316591;6.959111311;7.505474647;7.008644863;6.833740501;7.144889934;4.420588727;4.196128678;3.860266446;4.425347824
50;Thursday;7.307072978;6.843990213;6.68795454;6.926455734;7.55045403;7.026807245;6.845194548;7.155200221;4.618981534;4.213272484;3.864617751;4.23732585
44;Friday;7.33036403;6.8592509;6.706157188;6.89568508;7.617770983;7.046955182;6.86454061;7.064791583;4.658530327;4.243557008;3.883686185;4.054353205
41;Saturday;7.399855839;6.874808601;6.727424466;6.871031448;7.675839035;7.070259012;6.891066047;6.988734051;4.706939449;4.274844707;3.906892386;4.026001916
57;Sunday;7.456483612;6.89392213;6.746764541;6.917004616;7.718508752;7.09578638;6.918092418;7.008326797;4.837822846;4.30771112;3.927123313;4.097182924
65;Monday;7.486255285;6.915604046;6.76720411;6.923062653;7.716943552;7.12237726;6.944791572;7.040543219;4.761383626;4.347984294;3.951033609;4.07954126
